participant.code,round_no,participant.scenario,response,participant.treatment,neighbors,initially_neutral,response_change,response_delta
27rruec5,10,s4_p,1.0,AC_p,"[0, 0, 1]",Non-Neutral,0.0,0.0
2sxvp0rv,1,s4_p,0.0,NO_p,"0, 0, 0",Non-Neutral,-1.0,1.0
2sxvp0rv,2,s4_p,1.0,NO_p,"1, 1, 1",Non-Neutral,1.0,1.0
2sxvp0rv,3,s4_p,1.0,NO_p,"0, 1, 0",Non-Neutral,0.0,0.0
2sxvp0rv,4,s4_p,0.0,NO_p,"-1, -1, -1",Non-Neutral,-1.0,1.0
2sxvp0rv,5,s4_p,0.0,NO_p,"0, -1, 0",Non-Neutral,0.0,0.0
2sxvp0rv,6,s4_p,1.0,NO_p,"1, -1, 1",Non-Neutral,1.0,1.0
2sxvp0rv,7,s4_p,1.0,NO_p,"-1, 0, -1",Non-Neutral,0.0,0.0
2sxvp0rv,8,s4_p,1.0,NO_p,"1, 0, 1",Non-Neutral,0.0,0.0
2sxvp0rv,9,s4_p,1.0,NO_p,"1, -1, 0",Non-Neutral,0.0,0.0
2sxvp0rv,10,s4_p,0.0,NO_p,"-1, -1, 1",Non-Neutral,-1.0,1.0
2vqdn1r7,1,s4_n,0.0,AC_n,"[0, 1, 1]",Neutral,0.0,0.0
2vqdn1r7,2,s4_n,0.0,AC_n,"[0, -1, 1]",Neutral,0.0,0.0
2vqdn1r7,3,s4_n,0.0,AC_n,"[1, -1, -1]",Neutral,0.0,0.0
2vqdn1r7,4,s4_n,0.0,AC_n,"[1, 1, 1]",Neutral,0.0,0.0
2vqdn1r7,5,s4_n,0.0,AC_n,"[0, 0, 0]",Neutral,0.0,0.0
2vqdn1r7,6,s4_n,0.0,AC_n,"[0, -1, -1]",Neutral,0.0,0.0
2vqdn1r7,7,s4_n,0.0,AC_n,"[-1, 1, 1]",Neutral,0.0,0.0
2vqdn1r7,8,s4_n,0.0,AC_n,"[0, 0, -1]",Neutral,0.0,0.0
2vqdn1r7,9,s4_n,0.0,AC_n,"[1, 0, 0]",Neutral,0.0,0.0
2vqdn1r7,10,s4_n,0.0,AC_n,"[-1, -1, -1]",Neutral,0.0,0.0
2yz5dwoj,1,s4_p,0.0,C_p,"0, 0, 0",Non-Neutral,-1.0,1.0
2yz5dwoj,2,s4_p,0.0,C_p,"1, 0, 0",Non-Neutral,0.0,0.0
2yz5dwoj,3,s4_p,0.0,C_p,"-1, 0, 1",Non-Neutral,0.0,0.0
2yz5dwoj,4,s4_p,1.0,C_p,"0, 1, 1",Non-Neutral,1.0,1.0
2yz5dwoj,5,s4_p,1.0,C_p,"1, 1, 1",Non-Neutral,0.0,0.0
2yz5dwoj,6,s4_p,-1.0,C_p,"-1, 0, -1",Non-Neutral,-2.0,2.0
2yz5dwoj,7,s4_p,-1.0,C_p,"1, -1, -1",Non-Neutral,0.0,0.0
2yz5dwoj,8,s4_p,-1.0,C_p,"-1, -1, -1",Non-Neutral,0.0,0.0
2yz5dwoj,9,s4_p,1.0,C_p,"1, -1, 1",Non-Neutral,2.0,2.0
2yz5dwoj,10,s4_p,0.0,C_p,"-1, 0, 0",Non-Neutral,-1.0,1.0
36egld53,1,s9_n,1.0,C_n,"1, -1, 1",Non-Neutral,0.0,0.0
36egld53,2,s9_n,1.0,C_n,"-1, 0, 0",Non-Neutral,0.0,0.0
36egld53,3,s9_n,1.0,C_n,"0, 1, 0",Non-Neutral,0.0,0.0
36egld53,4,s9_n,1.0,C_n,"-1, 0, -1",Non-Neutral,0.0,0.0
36egld53,5,s9_n,1.0,C_n,"1, 1, 0",Non-Neutral,0.0,0.0
36egld53,6,s9_n,-1.0,C_n,"-1, 0, 1",Non-Neutral,-2.0,2.0
36egld53,7,s9_n,1.0,C_n,"1, 1, 1",Non-Neutral,2.0,2.0
36egld53,8,s9_n,1.0,C_n,"1, -1, -1",Non-Neutral,0.0,0.0
36egld53,9,s9_n,1.0,C_n,"-1, -1, -1",Non-Neutral,0.0,0.0
36egld53,10,s9_n,1.0,C_n,"0, 0, 0",Non-Neutral,0.0,0.0
3ic6p37b,1,s9_n,0.0,C_n,"[-1, -1, -1]",Neutral,0.0,0.0
3ic6p37b,2,s9_n,0.0,C_n,"[1, -1, -1]",Neutral,0.0,0.0
3ic6p37b,3,s9_n,0.0,C_n,"[-1, 1, 1]",Neutral,0.0,0.0
3ic6p37b,4,s9_n,0.0,C_n,"[0, 1, 0]",Neutral,0.0,0.0
3ic6p37b,5,s9_n,0.0,C_n,"[1, 1, 1]",Neutral,0.0,0.0
3ic6p37b,6,s9_n,0.0,C_n,"[0, 1, 1]",Neutral,0.0,0.0
3ic6p37b,7,s9_n,0.0,C_n,"[0, -1, 0]",Neutral,0.0,0.0
3ic6p37b,8,s9_n,-1.0,C_n,"[-1, -1, 0]",Neutral,-1.0,1.0
3ic6p37b,9,s9_n,0.0,C_n,"[0, 0, 0]",Neutral,1.0,1.0
3ic6p37b,10,s9_n,0.0,C_n,"[-1, 0, 1]",Neutral,0.0,0.0
3oh6crbi,1,s9_p,0.0,AC_p,"1, 1, 1",Non-Neutral,-1.0,1.0
